*******************************************************************************,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 16:39:14,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,
 ,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,
 ,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,
 ,,,,,,
Comet physical (GM= km^3/s^2; RAD= km):,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,
 ,,,,,,
COMET comments ,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,
2: k1=20.75, k2=5., phase coef.=0.03;,,,,
*******************************************************************************,,,,,,
,,,,,,
,,,,,,
*******************************************************************************,,,,,,
Ephemeris / WWW_USER Tue Mar  7 16:39:14 2023 Pasadena, USA      / Horizons    ,,,,,
*******************************************************************************,,,,,,
Target body name: McNaught (C/2006 P1)            {source: JPL#27},,,,,,
Center body name: Earth (399)                     {source: DE441},,,,,,
Center-site name: (user defined site below),,,,,,
*******************************************************************************,,,,,,
Start time      : A.D. 1599-Dec-10 23:59:00.0000 UT      ,,,,,,
Stop  time      : A.D. 2500-Dec-31 23:58:00.0000 UT      ,,,,,,
Step-size       : 1 calendar year,,,,,,
*******************************************************************************,,,,,,
Target pole/equ : undefined,,,,,,
Target radii    : undefined                                                    ,,,,,,
Center geodetic : 286.0058,40.7517, -2.02709E-12 {E-lon(deg),Lat(deg),Alt(km)},,
Center cylindric: 286.0058,4838.6361, 4141.57364 {E-lon(deg),Dxy(km),Dz(km)},,
Center pole/equ : ITRF93                          {East-longitude positive},,,,,,
Center radii    : 6378.137,6378.137, 6356.752 km {Equator_a, b, pole_c}       ,,
Target primary  : Sun,,,,,,
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441},,,,,,
Rel. light bend : Sun                             {source: DE441},,,,,,
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          ,,,,,,
Small-body perts: Yes                             {source: SB441-N16},,,,,,
