*******************************************************************************
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 16:39:14
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030
 
COMET comments 
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11
2: k1=20.75, k2=5., phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 16:39:14 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: McNaught (C/2006 P1)            {source: JPL#27}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 1599-Dec-10 23:59:00.0000 UT      
Stop  time      : A.D. 2500-Dec-31 23:58:00.0000 UT      
Step-size       : 1 calendar year
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 286.0058, 40.7517, -2.02709E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 286.0058, 4838.6361, 4141.57364 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : BOTH
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230306.p230530                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-06. PREDICTS-> 2023-MAY-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.                  
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329      
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 3.108169182050542E-02  Y=-1.293847674003737E+00  Z=-1.220881115605168E-01
  VX= 1.178722771799021E-03 VY= 1.912334650954304E-02 VZ= 9.391595170035781E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030           
***********************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,            delta,     deldot,  Tru_Anom,
***********************************************************************************
$$SOE
 1599-Dec-10 23:59, 2305426.499305556, , , 309.374472262135, -3.0040912,  182.8345,
 1600-Dec-10 23:59, 2305792.499305556, ,m, 308.870427927070, -3.3933517,  182.9053,
 1601-Dec-10 23:59, 2306157.499305556, ,m, 308.367970963987, -3.2548116,  182.9606,
 1602-Dec-10 23:59, 2306522.499305556, , , 307.864695362748, -3.1314776,  182.9805,
 1603-Dec-10 23:59, 2306887.499305556, ,m, 307.359948481336, -3.0279980,  182.9540,
 1604-Dec-10 23:59, 2307253.499305556, , , 306.851505945716, -3.3839159,  182.8522,
 1605-Dec-10 23:59, 2307618.499305556, , , 306.343426449918, -3.2744886,  182.6937,
 1606-Dec-10 23:59, 2307983.499305556, ,m, 305.833851975151, -3.1573567,  182.5387,
 1607-Dec-10 23:59, 2308348.499305556, , , 305.323563291653, -3.0139788,  182.4634,
 1608-Dec-10 23:59, 2308714.499305556, ,m, 304.811322736935, -3.3982612,  182.5024,
 1609-Dec-10 23:59, 2309079.499305556, ,m, 304.301636849705, -3.2608641,  182.6051,
 1610-Dec-10 23:59, 2309444.499305556, , , 303.792892792216, -3.1209126,  182.7048,
 1611-Dec-10 23:59, 2309809.499305556, ,m, 303.284717607075, -3.0118867,  182.7887,
 1612-Dec-10 23:59, 2310175.499305556, ,m, 302.774679437015, -3.3631626,  182.8516,
 1613-Dec-10 23:59, 2310540.499305556, , , 302.266369757099, -3.2431691,  182.8904,
 1614-Dec-10 23:59, 2310905.499305556, ,m, 301.757065952181, -3.1339561,  182.8994,
 1615-Dec-10 23:59, 2311270.499305556, , , 301.246471302156, -2.9929040,  182.8518,
 1616-Dec-10 23:59, 2311636.499305556, , , 300.732383163752, -3.3838222,  182.7502,
 1617-Dec-10 23:59, 2312001.499305556, ,m, 300.218670147004, -3.2608009,  182.6146,
 1618-Dec-10 23:59, 2312366.499305556, , , 299.703921356097, -3.1222690,  182.5069,
 1619-Dec-10 23:59, 2312731.499305556, ,m, 299.188678333751, -3.0156788,  182.5031,
 1620-Dec-10 23:59, 2313097.499305556, ,m, 298.671698059069, -3.3669938,  182.5955,
 1621-Dec-10 23:59, 2313462.499305556, , , 298.157701839771, -3.2343371,  182.7147,
 1622-Dec-10 23:59, 2313827.499305556, ,m, 297.644608278820, -3.1197613,  182.8224,
 1623-Dec-10 23:59, 2314192.499305556, , , 297.132201276761, -2.9717352,  182.9028,
 1624-Dec-10 23:59, 2314558.499305556, , , 296.618065867056, -3.3506394,  182.9672,
 1625-Dec-10 23:59, 2314923.499305556, ,m, 296.105381651724, -3.2319897,  183.0151,
 1626-Dec-10 23:59, 2315288.499305556, , , 295.591782806975, -3.0923544,  183.0269,
 1627-Dec-10 23:59, 2315653.499305556, ,m, 295.076739690725, -2.9902573,  182.9919,
 1628-Dec-10 23:59, 2316019.499305556, ,m, 294.557923145908, -3.3598305,  182.8890,
 1629-Dec-10 23:59, 2316384.499305556, , , 294.039553310242, -3.2298929,  182.7426,
 1630-Dec-10 23:59, 2316749.499305556, ,m, 293.519855981846, -3.1269284,  182.6202,
 1631-Dec-10 23:59, 2317114.499305556, ,m, 292.999528740666, -2.9839122,  182.5815,
 1632-Dec-10 23:59, 2317480.499305556, , , 292.477503203697, -3.3524267,  182.6383,
 1633-Dec-10 23:59, 2317845.499305556, ,m, 291.958023985380, -3.2341375,  182.7383,
 1634-Dec-10 23:59, 2318210.499305556, , , 291.439336309708, -3.0830357,  182.8307,
 1635-Dec-10 23:59, 2318575.499305556, , , 290.921086648447, -2.9706145,  182.9121,
 1636-Dec-10 23:59, 2318941.499305556, ,m, 290.400645748261, -3.3403605,  182.9750,
