*******************************************************************************
" Revised: Feb 06, 2023         Parker Solar Probe / Sun                    -96"
                         http://parkersolarprobe.jhuapl.edu/ 

 BACKGROUND:
  The Parker Solar Probe Mission will use seven Venus gravity assist flybys 
  over nearly seven years to gradually bring the spacecraft's trajectory closer
"  to the Sun, which it will orbit at least 24 times with a final solar orbit"
  period of 88 days.

"  The spacecraft will fly through the Sun's outer corona, 5.9 million km from "
  the surface (8.5 solar radii).

  The orbit will be highly elliptical to minimize the time spent closest
"  to the Sun, where incident solar radiation will be approximately 520 times "
  the intensity at Earth and temperatures near 2500 deg. F (1377 C).
 
 LAUNCH
  Date:           2018-Aug-12 07:31 UTC from NASA Kennedy Space Center
                  Complex 37
  Launch vehicle: Delta IV Heavy with Upper Stage

 EVENTS
2018
    2018-Oct-03: Venus Flyby #1 @ 8:44 UTC
    2018-Nov-06: Perihelion #1 @ 03:27 UTC
2019
    2019-Jan-19: Aphelion #1
    2019-Jan-20: Second orbit begins
    2019-Apr-04: Perihelion #2
    2019-Sep-01: Perihelion #3
    2019-Dec-26: Venus flyby #2
2020
    2020-Jan-29: Perihelion #4
    2020-Jun-07: Perihelion #5
    2020-Jul-11: Venus flyby #3
    2020-Sep-27: Perihelion #6 
2021
    2021-Jan-17: Perihelion #7
    2021-Feb-20: Venus flyby #4
    2021-Apr-29: Perihelion #8
    2021-Aug-09: Perihelion #9 
    2021-Oct-16: Venus flyby #5
    2021-Nov-21: Perihelion #10
2022
    2022-Feb-25: Perihelion #11
    2022-Jun-01: Perihelion #12
    2022-Sep-06: Perihelion #13
    2022-Dec-11: Perihelion #14
2023
    2023-Mar-17: Perihelion #15
    2023-Jun-22: Perihelion #16
    2023-Aug-21: Venus flyby #6
    2023-Sep-27: Perihelion #17
    2023-Dec-29: Perihelion #18
2024
    2024-Mar-30: Perihelion #19
    2024-Jun-30: Perihelion #20
    2024-Sep-30: Perihelion #21
    2024-Nov-06: Venus flyby #7 (last one)
    2024-Dec-24: Perihelion #22 (first close approach)
2025
    2025-Mar-22: Perihelion #23
    2025-Jun-19: Perihelion #24

 GOALS
  * Determine the structure and dynamics of the magnetic fields at the 
     sources of solar wind.
  * Trace the flow of energy that heats the corona and accelerates the solar 
     wind.
  * Determine what mechanisms accelerate and transport energetic particles.
  * Explore dusty plasma near the Sun and its influence on solar wind and 
     solar energetic particles formation.

 SPACECRAFT TRAJECTORY 
  Fit to post-launch tracking data 2018(Aug)-2021(Nov). Reference planning 
"  trajectory for times after Nov 16, 2021."

  NOTE: the reference trajectory will be updated when revised instead of 
   presenting more-frequent but short-term local OD reconstructions.

  Name                                      Start (TDB)         End (TDB) 
  ---------------------------------------  -----------------  -----------------
  spp_nom_20180812_20250831_v039_RO6       2018-Aug-12 08:17  2022-Dec-20 00:01
  spp_nom_20221220_20280201_ext02.V0.1     2022-Dec-20 00:01  2028-Feb-01 00:00
*******************************************************************************


*******************************************************************************
"Ephemeris / WWW_USER Mon May  8 01:31:33 2023 Pasadena, USA      / Horizons"
*******************************************************************************
Target body name: Parker Solar Probe (spacecraft) (-96) {source: Parker_Solar_Probe}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 23:59:00.0000 TDB
Stop  time      : A.D. 2023-Apr-17 23:59:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
"Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}"
"Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}"
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1x (position w/uncertainties: XYZ)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
"            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,"
*****************************************************************************************************************************************************************************
$$SOE
"2458343.499305556, A.D. 2018-Aug-12 23:59:00.0000,  1.156387227855835E+08, -9.698270240432504E+07, -1.127475009413660E+05,            n.a.,            n.a.,            n.a.,"
"2458374.499305556, A.D. 2018-Sep-12 23:59:00.0000,  1.265279346703944E+08, -4.892195384164988E+07, -4.400704047740802E+06,            n.a.,            n.a.,            n.a.,"
"2458404.499305556, A.D. 2018-Oct-12 23:59:00.0000,  8.946276452339707E+07,  1.244423139459312E+07, -5.271234181438371E+06,            n.a.,            n.a.,            n.a.,"
"2458435.499305556, A.D. 2018-Nov-12 23:59:00.0000, -2.351034127259306E+07, -3.307428719901369E+07,  1.373371463538717E+06,            n.a.,            n.a.,            n.a.,"
"2458465.499305556, A.D. 2018-Dec-12 23:59:00.0000,  5.804138303739385E+07, -9.635306538855904E+07, -3.410699973173149E+06,            n.a.,            n.a.,            n.a.,"
"2458496.499305556, A.D. 2019-Jan-12 23:59:00.0000,  1.105984434578486E+08, -8.342846896671525E+07, -6.499945634908170E+06,            n.a.,            n.a.,            n.a.,"
"2458527.499305556, A.D. 2019-Feb-12 23:59:00.0000,  1.232175113587331E+08, -3.932921592481780E+07, -7.247767005043514E+06,            n.a.,            n.a.,            n.a.,"
"2458555.499305556, A.D. 2019-Mar-12 23:59:00.0000,  8.624892098792364E+07,  1.484124270059619E+07, -5.084710832303220E+06,            n.a.,            n.a.,            n.a.,"
"2458586.499305556, A.D. 2019-Apr-12 23:59:00.0000, -2.091961610517148E+07, -3.940760713510381E+07,  1.214311914755013E+06,            n.a.,            n.a.,            n.a.,"
"2458616.499305556, A.D. 2019-May-12 23:59:00.0000,  6.059545300526381E+07, -9.669896893200383E+07, -3.566735745872602E+06,            n.a.,            n.a.,            n.a.,"
"2458647.499305556, A.D. 2019-Jun-12 23:59:00.0000,  1.116846311635263E+08, -8.216438665633847E+07, -6.570061753976122E+06,            n.a.,            n.a.,            n.a.,"
"2458677.499305556, A.D. 2019-Jul-12 23:59:00.0000,  1.229605869399009E+08, -3.895922538089355E+07, -7.238903525283962E+06,            n.a.,            n.a.,            n.a.,"
