*******************************************************************************
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 18:40:33
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030
 
COMET comments 
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11
2: k1=20.75, k2=5., phase coef.=0.03;
*******************************************************************************

  

*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 18:40:33 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: McNaught (C/2006 P1)            {source: JPL#27}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1599-Dec-11 23:59:00.0000 TDB
Stop  time      : A.D. 2500-Dec-31 23:58:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.                  
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329      
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 3.108169182050542E-02  Y=-1.293847674003737E+00  Z=-1.220881115605168E-01
  VX= 1.178722771799021E-03 VY= 1.912334650954304E-02 VZ= 9.391595170035781E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305427.499305556, A.D. 1599-Dec-11 23:59:00.0000, -5.490539280183048E+09, -4.278461822270155E+10, -1.638875385521118E+10,  2.951289689239774E-01,  2.198508626242140E+00,  9.014530774450091E-01,  1.539195303702070E+05,  4.614391434389001E+10, -2.393738450638782E+00,
2305793.499305556, A.D. 1600-Dec-11 23:59:00.0000, -5.481202876876319E+09, -4.271506713839688E+10, -1.636023665066498E+10,  2.953641819176336E-01,  2.200341571428252E+00,  9.021551521542974E-01,  1.536669324228473E+05,  4.606818738436527E+10, -2.395713115835200E+00,
2306158.499305556, A.D. 1601-Dec-11 23:59:00.0000, -5.471884563376955E+09, -4.264564826431239E+10, -1.633177521637779E+10,  2.955995098925979E-01,  2.202175551313293E+00,  9.028575423191856E-01,  1.534148168565167E+05,  4.599260503903497E+10, -2.397688861343526E+00,
2306523.499305556, A.D. 1602-Dec-11 23:59:00.0000, -5.462558816594590E+09, -4.257617145821043E+10, -1.630329159616702E+10,  2.958355983266373E-01,  2.204015601821325E+00,  9.035621764333296E-01,  1.531624931142155E+05,  4.591696028411874E+10, -2.399671112187864E+00,
2306888.499305556, A.D. 1603-Dec-11 23:59:00.0000, -5.453225612484911E+09, -4.250663652809347E+10, -1.627478571906020E+10,  2.960724511829457E-01,  2.205861757646618E+00,  9.042690675436197E-01,  1.529099605096485E+05,  4.584125291387047E+10, -2.401659905564729E+00,
2307254.499305556, A.D. 1604-Dec-11 23:59:00.0000, -5.443859325631461E+09, -4.243685253419501E+10, -1.624617932347964E+10,  2.963107269372006E-01,  2.207719135040780E+00,  9.049801740842476E-01,  1.526565256199820E+05,  4.576527504535437E+10, -2.403660753007993E+00,
2307619.499305556, A.D. 1605-Dec-11 23:59:00.0000, -5.434511113465985E+09, -4.236720061522239E+10, -1.621762865661040E+10,  2.965491290863735E-01,  2.209577620961741E+00,  9.056916219312634E-01,  1.524035726397363E+05,  4.568944164964808E+10, -2.405662759562996E+00,
2307984.499305556, A.D. 1606-Dec-11 23:59:00.0000, -5.425155370776724E+09, -4.229748998918592E+10, -1.618905551739133E+10,  2.967883098298157E-01,  2.211442318698833E+00,  9.064053633818321E-01,  1.521504087131412E+05,  4.561354501381722E+10, -2.407671421847729E+00,
2308349.499305556, A.D. 1607-Dec-11 23:59:00.0000, -5.415792072979078E+09, -4.222772045962682E+10, -1.616045983327411E+10,  2.970282717317690E-01,  2.213313263704565E+00,  9.071214123659123E-01,  1.518970331380557E+05,  4.553758492736517E+10, -2.409686777905892E+00,
2308715.499305556, A.D. 1608-Dec-11 23:59:00.0000, -5.406395511273330E+09, -4.215770043627738E+10, -1.613176309382447E+10,  2.972696815772332E-01,  2.215195644562652E+00,  9.078417541819114E-01,  1.516427501544809E+05,  4.546135280669170E+10, -2.411714416741721E+00,
